fileName,keepForTraining,decision,reasonCode,candidateCount,needsManualFix,targetSplitHint,sampleKind,backgroundTone,colorFamily,effectTags,notes
0132d6d2f15c7eeb06c6b20b2b9899db.jpg,true,needs_manual_fix,annotation_incorrect,,true,train,reference,unknown,other,,图片清晰可用；现有自动标注有问题，需重新标注甲面
02a57340bbd2ef39c02e66b503f077a0.jpg,true,needs_manual_fix,annotation_incorrect,,true,train,reference,unknown,other,,图片清晰可用；现有自动标注有问题，需重新标注甲面
075757517fbb6e42840328dcfd1c984b.jpg,true,needs_manual_fix,annotation_incorrect,,true,train,reference,unknown,other,,图片清晰可用；现有自动标注有问题，需重新标注甲面
19e1ff892bc03296309118564517395c.jpg,true,needs_manual_fix,annotation_incorrect,,true,train,reference,unknown,other,,图片清晰可用；现有自动标注有问题，需重新标注甲面
4a0e76a068f83cac81efed7aaeeb8e96.jpg,true,needs_manual_fix,annotation_incorrect,,true,train,reference,unknown,other,,图片清晰可用；现有自动标注有问题，需重新标注甲面
4fd43a5c9f4923aa81867575ace2a875.jpg,true,needs_manual_fix,annotation_incorrect,,true,train,reference,unknown,other,,图片清晰可用；现有自动标注有问题，需重新标注甲面
586430bda51171eda6acac9b78044e86.jpg,true,needs_manual_fix,annotation_incorrect,,true,train,reference,unknown,other,,图片清晰可用；现有自动标注有问题，需重新标注甲面
8c4793356e5af0d460bc7967919fd6ba.jpg,true,needs_manual_fix,annotation_incorrect,,true,train,reference,unknown,other,,图片清晰可用；现有自动标注有问题，需重新标注甲面
916243c8917244d2b399ae2674266b6b.jpg,true,needs_manual_fix,annotation_incorrect,,true,train,reference,unknown,other,,图片清晰可用；现有自动标注有问题，需重新标注甲面
9a0c13d0485ade01a084dbfeff865d99.jpg,true,needs_manual_fix,annotation_incorrect,,true,train,reference,unknown,other,,图片清晰可用；现有自动标注有问题，需重新标注甲面
aaa6fab381af1c61b619a9807d52a1f0.jpg,true,needs_manual_fix,annotation_incorrect,,true,train,reference,unknown,other,,图片清晰可用；现有自动标注有问题，需重新标注甲面
ca2d14573bfe3c0c83cdc3100e074b3c.jpg,true,needs_manual_fix,annotation_incorrect,,true,train,reference,unknown,other,,图片清晰可用；现有自动标注有问题，需重新标注甲面
cb7a371d6826a7e71a49ca4bf1ce2382.jpg,true,needs_manual_fix,annotation_incorrect,,true,train,reference,unknown,other,,图片清晰可用；现有自动标注有问题，需重新标注甲面
cefb43f688de010c12d6a22c058188ed.jpg,true,needs_manual_fix,annotation_incorrect,,true,train,reference,unknown,other,,图片清晰可用；现有自动标注有问题，需重新标注甲面
d59b3facac1d4ce8507d1de491a583d6.jpg,true,needs_manual_fix,annotation_incorrect,,true,train,reference,unknown,other,,图片清晰可用；现有自动标注有问题，需重新标注甲面
d91d43318c1f87f3c3118f42de25de57.jpg,true,needs_manual_fix,annotation_incorrect,,true,train,reference,unknown,other,,图片清晰可用；现有自动标注有问题，需重新标注甲面
df5b39c10a2185218d507bfd6a9f26df.jpg,true,needs_manual_fix,annotation_incorrect,,true,train,reference,unknown,other,,图片清晰可用；现有自动标注有问题，需重新标注甲面
e0bd54d05d6cdad6e2adedb784be875c.jpg,true,needs_manual_fix,annotation_incorrect,,true,train,reference,unknown,other,,图片清晰可用；现有自动标注有问题，需重新标注甲面
ec02f0d2830587d57caadd728bdebe82.jpg,true,needs_manual_fix,annotation_incorrect,,true,train,reference,unknown,other,,图片清晰可用；现有自动标注有问题，需重新标注甲面
ecd34e2fb116522263394fd443fab987.jpg,true,needs_manual_fix,annotation_incorrect,,true,train,reference,unknown,other,,图片清晰可用；现有自动标注有问题，需重新标注甲面
f03408b03bcc28080f07f84d2507868b.jpg,true,needs_manual_fix,annotation_incorrect,,true,train,reference,unknown,other,,图片清晰可用；现有自动标注有问题，需重新标注甲面
f5e4fc362a7b4115cbf3607d22d87e72.jpg,true,needs_manual_fix,annotation_incorrect,,true,train,reference,unknown,other,,图片清晰可用；现有自动标注有问题，需重新标注甲面
