fileName,reviewStatus,acceptedAsTrainingTruth,reviewNote
0132d6d2f15c7eeb06c6b20b2b9899db.jpg,pass,true,5个甲面轮廓均贴合
02a57340bbd2ef39c02e66b503f077a0.jpg,pass,true,10个甲面均被独立分割且边界可接受
075757517fbb6e42840328dcfd1c984b.jpg,pass,true,refined-v2收紧双手及裁边实例后10个甲面全部通过
19e1ff892bc03296309118564517395c.jpg,pass,true,refined-v2收紧双手及裁边实例后9个甲面全部通过
4a0e76a068f83cac81efed7aaeeb8e96.jpg,pass,true,5个高对比甲面轮廓均贴合
4fd43a5c9f4923aa81867575ace2a875.jpg,pass,true,refined-v2收紧第10处裁边提示后10个甲面全部通过
586430bda51171eda6acac9b78044e86.jpg,pass,true,refined-v2补齐双手10个甲面并将第6个布料遮挡实例标记为occluded后全部通过视觉与几何审核
8c4793356e5af0d460bc7967919fd6ba.jpg,pass,true,refined-v2收紧5个单手甲面提示后全部通过
916243c8917244d2b399ae2674266b6b.jpg,pass,true,refined-v2重新定位双手8个甲面后全部通过
9a0c13d0485ade01a084dbfeff865d99.jpg,pass,true,refined-v2重新定位双手9个透明甲面后全部通过
aaa6fab381af1c61b619a9807d52a1f0.jpg,pass,true,refined-v2收紧双手9个透明甲面后全部通过
ca2d14573bfe3c0c83cdc3100e074b3c.jpg,excluded,false,用户复核确认指甲露出不完整；禁止用于标注、训练、验证和回归
cb7a371d6826a7e71a49ca4bf1ce2382.jpg,pass,true,refined-v2逐甲收紧9个提示框并修正饰钻与皮肤粘连后全部通过视觉与几何审核
cefb43f688de010c12d6a22c058188ed.jpg,pass,true,refined-v2收紧第4第5实例并增加多正点提示后7个甲面全部通过视觉与几何审核
d59b3facac1d4ce8507d1de491a583d6.jpg,pass,true,refined-v2结合第5处多正点提示后5个甲面全部通过
d91d43318c1f87f3c3118f42de25de57.jpg,pass,true,refined-v2以多正点分离交叉双手10个甲面并标记第8实例遮挡后全部通过视觉与几何审核
df5b39c10a2185218d507bfd6a9f26df.jpg,pass,true,refined-v2逐甲重建双手8个甲面并二次收紧第4实例后全部通过视觉与几何审核
e0bd54d05d6cdad6e2adedb784be875c.jpg,pass,true,refined-v2使用逐甲多正点重建10个透明甲面并二次收紧第5第10实例后全部通过视觉与几何审核
ec02f0d2830587d57caadd728bdebe82.jpg,pass,true,refined-v2-negative-corners 10 个甲面经视觉复核与几何审计全部通过并正式入库
ecd34e2fb116522263394fd443fab987.jpg,pass,true,refined-v2重新定位9个甲面后全部通过
f03408b03bcc28080f07f84d2507868b.jpg,pass,true,refined-v2重新定位第1第4第6第7处后8个甲面全部通过
f5e4fc362a7b4115cbf3607d22d87e72.jpg,pass,true,逐实例合并保留旧版合格第1实例并采用v3精修其余7实例，视觉复核与几何审计全部通过
